CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;119
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
LineMandelCalculator;512;1536;1024;100;35
LineMandelCalculator;512;1536;1024;100;35
LineMandelCalculator;512;1536;1024;100;35
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;473
LineMandelCalculator;1024;3072;2048;100;150
LineMandelCalculator;1024;3072;2048;100;152
BatchMandelCalculator;512;1536;1024;100;18
LineMandelCalculator;1024;3072;2048;100;151
BatchMandelCalculator;512;1536;1024;100;18
BatchMandelCalculator;512;1536;1024;100;18
RefMandelCalculator;2048;6144;4096;100;1887
RefMandelCalculator;2048;6144;4096;100;1887
RefMandelCalculator;2048;6144;4096;100;1889
LineMandelCalculator;2048;6144;4096;100;608
LineMandelCalculator;2048;6144;4096;100;615
BatchMandelCalculator;1024;3072;2048;100;64
LineMandelCalculator;2048;6144;4096;100;609
BatchMandelCalculator;1024;3072;2048;100;64
BatchMandelCalculator;1024;3072;2048;100;64
RefMandelCalculator;4096;12288;8192;100;7523
RefMandelCalculator;4096;12288;8192;100;7527
RefMandelCalculator;4096;12288;8192;100;7526
LineMandelCalculator;4096;12288;8192;100;2463
LineMandelCalculator;4096;12288;8192;100;2451
BatchMandelCalculator;2048;6144;4096;100;237
BatchMandelCalculator;2048;6144;4096;100;237
LineMandelCalculator;4096;12288;8192;100;2453
BatchMandelCalculator;2048;6144;4096;100;241
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1042
RefMandelCalculator;512;1536;1024;1000;1042
LineMandelCalculator;512;1536;1024;1000;319
LineMandelCalculator;512;1536;1024;1000;320
BatchMandelCalculator;4096;12288;8192;100;924
BatchMandelCalculator;4096;12288;8192;100;908
LineMandelCalculator;512;1536;1024;1000;322
BatchMandelCalculator;4096;12288;8192;100;941
RefMandelCalculator;1024;3072;2048;1000;4167
RefMandelCalculator;1024;3072;2048;1000;4169
LineMandelCalculator;1024;3072;2048;1000;1367
RefMandelCalculator;1024;3072;2048;1000;4167
LineMandelCalculator;1024;3072;2048;1000;1364
BatchMandelCalculator;512;1536;1024;1000;151
LineMandelCalculator;1024;3072;2048;1000;1364
BatchMandelCalculator;512;1536;1024;1000;156
BatchMandelCalculator;512;1536;1024;1000;152
RefMandelCalculator;2048;6144;4096;1000;16669
RefMandelCalculator;2048;6144;4096;1000;16668
LineMandelCalculator;2048;6144;4096;1000;5442
RefMandelCalculator;2048;6144;4096;1000;16668
LineMandelCalculator;2048;6144;4096;1000;5478
BatchMandelCalculator;1024;3072;2048;1000;500
LineMandelCalculator;2048;6144;4096;1000;5478
BatchMandelCalculator;1024;3072;2048;1000;502
RefMandelCalculator;4096;12288;8192;1000;66638
BatchMandelCalculator;1024;3072;2048;1000;508
RefMandelCalculator;4096;12288;8192;1000;66662
LineMandelCalculator;4096;12288;8192;1000;21938
RefMandelCalculator;4096;12288;8192;1000;66656
BatchMandelCalculator;2048;6144;4096;1000;1836
LineMandelCalculator;4096;12288;8192;1000;21889
LineMandelCalculator;4096;12288;8192;1000;21849
BatchMandelCalculator;2048;6144;4096;1000;1846
BatchMandelCalculator;2048;6144;4096;1000;1836
BatchMandelCalculator;4096;12288;8192;1000;6838
BatchMandelCalculator;4096;12288;8192;1000;6826
BatchMandelCalculator;4096;12288;8192;1000;6725
